,Regla,Soporte,Confianza,Lift
113,"Name->Yuca,Pimenton",0.012717304186851457,0.5463132236441195,6.336828884274847
114,"Zanahoria->Name,Pimenton",0.015355807899907085,0.6596587446678854,4.465794043598411
115,"Tomate->Name,Yuca",0.016086361347339154,0.5243930635838151,6.082571258051708
116,"Zanahoria->Name,Yuca",0.012291739071842485,0.5590322580645162,6.484360265920039
117,"Zanahoria->Papa,Pepino",0.025299846087283404,0.640625,4.33693835230001
118,"Zanahoria->Papa,Remolacha",0.010929930703813772,0.7651439920556107,5.179913871887472
119,"Zanahoria->Pimenton,Pepino",0.028179503365510783,0.6927637314734089,4.68991000368311
120,"Zanahoria->Pepino,Platano",0.011192362524735973,0.6828212894850715,4.622601113185957
121,"Tomate->Zanahoria,Pepino",0.03338558327245388,0.6252656748140277,4.232957948062756
122,"Zanahoria->Yuca,Pepino",0.012866251977104597,0.6718518518518519,4.548339611098663
123,"Zanahoria->Pimenton,Platano",0.017320500180865173,0.6171341925701288,4.177908992426289
124,"Zanahoria->Pimenton,Remolacha",0.011185269772819155,0.7972699696663296,5.39740208169049
125,"Zanahoria->Pimenton,Yuca",0.020271084978260714,0.6196877710320902,4.1951963483166885
126,"Tomate->Zanahoria,Remolacha",0.013149962053777244,0.5625,5.998057215247315
